q_idx,label,gpt_prediction,gemini_prediction
101,"Serangga berbahaya yang rupanya mirip dengan karakter Marvel Deadpool adalah satu dari sejumlah spesies baru yang disebut memiliki ""kekuatan super"" .","Pemimpin delapan negara maju menggelar KTT di Camp David, AS. G8 mendukung Yunani tetap menggunakan euro dan berjanji mengambil langkah untuk menggairahkan perekonomian mereka yang terancam oleh krisis utang Eropa. Wacana keluarnya Yunani dari zona euro juga muncul.","CSIRO, badan sains nasional Australia, menamai 164 spesies serangga dan tumbuhan baru.  Beberapa serangga dinamai karakter Marvel, seperti lalat Deadpool (Humorolethalis sergius) karena tanda di punggungnya mirip topeng Deadpool.  Lalat lain dinamai Stan Lee (Daptolestes leei),  serta  Thor (Daptolestes bronteflavus) dan Loki (Daptolestes illusiolautus).  Penamaan ini penting untuk penelitian ilmiah, seperti  pemantauan pemulihan tawon laba-laba pasca kebakaran hutan, yang racunnya berpotensi mengobati Alzheimer dan epilepsi.
"
102,Komentator BBC Barry Davies yang meliput Olimpiade sejak Olimpiade Meksiko 1968 menceritakan salah satu peristiwa paling berkesan selama 44 tahun meliput Olimpiade adalah Olimpiade Barcelona 1992 ketika Indonesia mendapat emas pertama dalam sejarah lewat Susi Susanti.,"Menteri Luar Negeri AS, Mike Pompeo, mengatakan bahwa ada masa depan yang penuh dengan perdamaian dan kemakmuran bagi rakyat Korea Utara. Pompeo juga mendesak Pyongyang untuk melakukan denuklirisasi dengan cepat dan membutuhkan program ""verifikasi kuat"" oleh AS dan negara-negara lain.","Barry Davies, komentator olahraga BBC, terkesan dengan permainan Susi Susanti di final tunggal putri bulutangkis Olimpiade Barcelona.  Davies, ditemani Craig Reddie, pakar bulutangkis, mengomentari pertandingan tersebut.  Reddie sangat antusias karena bulutangkis pertama kali dipertandingkan di Olimpiade.  Susi Susanti tampil dominan dan  membuat Reddie semakin emosional.  Kemenangan Susi Susanti disambut meriah, menandai medali emas Olimpiade pertama bagi Indonesia.
"
103,Polisi Afrika Selatan menahan seorang lelaki yang menelan 250 berlian dalam upaya untuk menyelundupkannya ke luar negeri.,"Partisipasi warga AS dalam bursa tenaga kerja turun, meskipun tingkat pengangguran menurun menjadi 7,3%. Departemen Tenaga Kerja juga merevisi data penambahan lapangan kerja pada Juli menjadi 104.000, angka terendah dalam setahun. Bank Sentral AS akan mempertimbangkan pemotongan program stimulus dalam pertemuan bulan September.","Seorang pria Lebanon ditangkap di bandara Johannesburg, Afrika Selatan, karena menyelundupkan berlian senilai Rp22 miliar.  Ratusan berlian tersebut ditemukan tertelan dalam tubuhnya saat pemindaian keamanan.  Pria tersebut hendak terbang ke Dubai dan diduga bagian dari sindikat penyelundupan.  Penangkapan ini bukan yang pertama, kasus serupa terjadi pada bulan Maret sebelumnya. Afrika Selatan dikenal sebagai produsen berlian terkemuka dunia.
"
104,"Seorang lelaki ditangkap dengan tuduhan melontarkan ancaman bom yang ternyata tipuan, yang berakibat diluncurkannya sebuah jet militer untuk mengarahkan pendaratan pesawat penumpang Qatar Airways di bandara Manchester.","Ethan Lindenberger, seorang remaja, mendapatkan lima kali vaksin setelah mencapai usia 18 tahun. Ibunya melarangnya untuk divaksin, tetapi Ethan yakin bahwa vaksinasi adalah pilihan terbaik. Dia meminta maaf kepada ibunya atas komentarnya yang negatif di media sosial. Ada perbedaan batas usia di AS yang memungkinkan anak di bawah umur untuk mendapatkan vaksinasi tanpa izin orang tua.","Seorang pria 47 tahun ditangkap di pesawat Qatar Airways tujuan Doha-Manchester karena ancaman bom palsu.  Pilot melaporkan ancaman tersebut kepada pihak berwenang, memicu pengerahan polisi bersenjata dan penundaan penerbangan di Bandara Manchester.  Penumpang dievakuasi dengan normal, meskipun beberapa mengaku terguncang oleh insiden tersebut.  Jet tempur Typhoon RAF dikerahkan sebagai tindakan pencegahan.  Qatar Airways mengkonfirmasi ancaman tersebut dan kerjasama mereka dengan otoritas Inggris.
"
105,"Sri Lanka akan membeli minyak dari Irak setelah Amerika Serikat memberlakukan sanksi baru terhadap Iran, negara pemasok utama bagi Sri Lanka.",Timnas sepak bola Indonesia dilarang tampil di ajang internasional oleh FIFA. Pengamat sepak bola mengkhawatirkan peringkat timnas Indonesia akan turun dan sulit untuk menggelar uji coba dengan negara lain. Kementerian Pemuda dan olahraga meminta masyarakat tidak meratapi sanksi FIFA tersebut. Kemenpora akan membekukan kepengurusan PSSI yang lama dan membentuk pengurus sementara untuk menggelar kongres dan memilih pengurus PSSI yang baru.,"Sri Lanka kesulitan membeli minyak dari Iran, yang memasok 92% kebutuhan minyaknya, akibat sanksi AS.  Negara itu kini mencari alternatif dari Irak karena kualitas minyak yang mirip dan dapat diproses di dalam negeri.  Menteri Luar Negeri Sri Lanka, Karunatillaka Amunugama, menyatakan rencana pembelian minyak Irak sedang difinalisasi.  Sebelumnya, Sri Lanka juga mempertimbangkan Arab Saudi dan Oman sebagai pemasok alternatif.  Sanksi AS terbaru menargetkan sektor energi, pelayaran, dan pelabuhan Iran karena kekhawatiran program nuklirnya.
"
107,"Jenazah Sumarti Ningsih, salah satu korban pembunuhan di Hongkong, dikuburkan di tempat pemakaman umum (TPU) Dusun Kebanaran, Desa Gandrungmangu, Kecamatan Gandrungmangu, Cilacap, Jawa Tengah, Rabu (12/11).",Louise mengalami kesulitan mencari kontrasepsi yang tepat dan pemotongan anggaran kesehatan publik di Inggris telah mempengaruhi layanan kontrasepsi. Pandemi juga dapat meningkatkan jumlah kehamilan yang tidak diinginkan. Kelompok Parlemen Semua Partai (APPG) mengusulkan pembentukan badan komisioner untuk meningkatkan akuntabilitas dan pengembangan layanan kontrasepsi digital.,"Jenazah Sumarti Ningsih disalatkan warga sebelum dimakamkan di TPU Kebanaran.  Suasana haru mengiringi pemberangkatan jenazah dari rumah duka.  Upacara adat brobosan, di mana anak Sumarti melewati bawah peti jenazah, juga dilaksanakan.  Ratusan warga dan kerabat mengantar jenazah dan mendoakannya di sepanjang jalan. Pemerintah, melalui sambutan Kepala Dinas Sosial Tenaga Kerja dan Transmigrasi Cilacap,  mendesak penuntasan kasus pidana yang diduga melibatkan Rurik Jutting.
"
108,"Berbagai peristiwa yang terjadi sepanjang 2019, mulai dari pemilu sampai kerusuhan menentang UU revisi KPK dan dibukanya layanan kereta bawah tanah, MRT di Jakarta.",Midland Freewheelers membutuhkan lebih banyak sukarelawan untuk mengantarkan ASI kepada bayi-bayi sakit atau prematur di Birmingham Women's Hospital. Kelompok ini terdiri dari 25 pengendara motor sukarelawan yang sebelumnya mengantar darah dan keperluan medis secara gratis. ASI dari para donor digunakan untuk menyelamatkan kehidupan bayi-bayi ini.,"Tahun 2019 diawali dengan penemuan kotak hitam pesawat Lion Air JT-610.  Pemilu dan Pilpres 2019 dimenangkan oleh Joko Widodo-Ma'ruf Amin.  Indonesia berduka atas wafatnya Ani Yudhoyono dan BJ Habibie.  Kerusuhan pascapemilu, kerusuhan Papua, dan demonstrasi RUU mewarnai tahun tersebut.  Namun, ada pula kabar gembira seperti pengoperasian MRT dan LRT Jakarta, serta prestasi Indonesia di SEA Games 2019.
"
109,"Presiden Donald Trump telah menunjuk Jenderal John Kelly, yang saat ini memimpin Departemen Keamanan Dalam Negeri, sebagai kepala staf Gedung Putih yang baru.",Lebih dari 100 laporan tentang penemuan jarum di dalam stroberi di Australia telah menyebabkan jaringan supermarket Countdown menarik semua kemasan stroberi merek Choice dari peredaran. Dua distributor makanan terbesar di Selandia Baru juga telah menghentikan impor stroberi dari Australia. Para petani stroberi mengalami kerugian besar karena permintaan anjlok dan harga stroberi turun di seluruh Australia. Pemerintah Queensland menawarkan hadiah bagi siapa saja yang bisa mengungkap pihak yang berada di balik kasus ini.,"John Kelly menggantikan Reince Priebus sebagai Kepala Staf Gedung Putih.  Pergantian ini diumumkan Trump melalui Twitter setelah perseteruan antara Priebus dan Direktur Komunikasi Anthony Scaramucci. Priebus mengaku mengundurkan diri atas permintaan Trump yang menginginkan arah baru. Scaramucci sebelumnya menyerang Priebus dengan tuduhan  ""pembocor"" informasi.  Trump memuji Kelly sebagai ""orang Amerika yang hebat"" dan ""pemimpin yang hebat,"" sementara juga berterima kasih kepada Priebus atas pengabdiannya.
"
110,"Juara bertahan tunggal putri Prancis Terbuka, Maria Sharapova, melaju ke semifinal setelah mengalahkan Jelena Jankovic dengan angka, 0-6, 6-4, dan 6-3.",Fitry Pakiding dan Melvin Gumal menerima Penghargaan Whitley atas usaha mereka dalam konservasi penyu belimbing dan orang utan di Papua Barat dan Sarawak. Mereka berharap penghargaan ini akan meningkatkan upaya konservasi yang mereka lakukan.,"Maria Sharapova berhasil melaju ke semifinal Prancis Terbuka setelah mengalahkan Jelena Jankovic.  Meskipun sempat kalah telak 0-6 di set pertama, Sharapova bangkit dan memenangkan dua set berikutnya.  Kemenangan ini membawanya selangkah lebih dekat untuk mempertahankan gelar juara.  Di semifinal, Sharapova akan berhadapan dengan Victoria Azarenka.  Azarenka sendiri lolos ke semifinal setelah mengalahkan Maria Kirilenko.
"
112,"Kesepakatan perpindahan kiper Manchester United, David de Gea ke Real Madrid ambruk karena keterlambatan pengiriman dokumen yang diperlukan.","Lalat Deadpool baru, Black Widow, Stan Lee, dan Loki adalah beberapa spesies serangga yang baru ditemukan dan dinamai berdasarkan karakter Marvel. Penamaan ini penting untuk penelitian dan pemahaman lebih lanjut tentang keanekaragaman hayati.","Transfer David de Gea dari Manchester United ke Real Madrid gagal karena masalah dokumen.  Spanyol menuduh MU terlambat mengirim dokumen, sementara MU mengklaim punya bukti telah mengirim tepat waktu.  Kesepakatan awal melibatkan pertukaran De Gea dengan Keylor Navas.  Kedua klub saling menyalahkan atas kegagalan transfer ini.  Belum jelas apakah Real Madrid akan mengajukan permohonan ke FIFA.
"
114,Pengawas penerbangan Eropa mengumumpkan usulan baru untuk membuat kotak hitam dari pesawat yang hilang lebih mudah ditemukan.,"Afsel, produsen berlian terbaik dunia, menangkap seorang lelaki yang menyelundupkan berlian senilai US$2,3 juta di bandara Johannesburg. Lelaki tersebut berasal dari Lebanon dan akan menuju ke Dubai. Otoritas meyakini dia merupakan bagian dari lingkaran penyelundup.","Hilangnya pesawat Malaysia Airlines MH370 mendorong upaya peningkatan keselamatan penerbangan internasional.  EASA mengusulkan perpanjangan masa aktif  'ping' peralatan pelacak bawah laut dari 30 menjadi 90 hari.  Usulan lain meliputi frekuensi 'ping' baru dan peningkatan durasi rekaman percakapan kokpit menjadi 20 jam.  Tujuannya adalah untuk memudahkan pencarian pesawat jika terjadi kecelakaan di laut.  Pencarian MH370 yang hilang dalam perjalanan dari Kuala Lumpur ke Beijing, masih dipimpin Australia dan diperkirakan membutuhkan waktu lama.
"
115,"Makian 'kamu hanya pembantu' dan banyak cacian lain di Hong Kong sering dihadapi para pekerja migran termasuk dari Indonesia dan hanya dihadapi dengan ""tak berdaya.""",Polisi menangkap penumpang yang mengancam bom palsu di pesawat Qatar Airways tujuan Doha-Manchester. Pesawat tertunda selama 25 menit dan bandara Manchester kembali beroperasi normal. Penumpang lain merasa terguncang dengan kejadian tersebut. Pesawat Manchester United tidak terpengaruh dan mendarat sesuai jadwal.,"Seorang perempuan Hong Kong terekam kamera memaki pekerja migran Filipina di tempat umum.  Perempuan itu berteriak menyuruh pekerja tersebut pulang ke Filipina dan menyebutnya pembantu.  Kejadian ini viral di media sosial dan menuai banyak kecaman.  Insiden ini menunjukkan perlakuan buruk dan kekerasan verbal yang umum dialami pekerja migran di Hong Kong.  Para pekerja migran seringkali tidak berdaya dan memilih untuk meminta maaf daripada melawan karena takut dipecat.
"
116,Presiden Joko Widodo menegaskan netralitas dirinya dalam gelaran pilkada serentak yang akan berlangsung Rabu 15 Februari.,Sri Lanka mencari sumber alternatif untuk membeli minyak setelah kesulitan membeli dari Iran. Mereka sedang merencanakan pembelian minyak dari Irak yang mirip dengan minyak Iran. Pasokan minyak dari Iran dikhawatirkan tidak stabil setelah adanya sanksi ekonomi dari AS.,"Presiden Jokowi menegaskan netralitasnya dalam Pilkada 2017 saat menerima pengurus Muhammadiyah di Istana Merdeka.  Jokowi akan meminta pandangan Mahkamah Agung terkait status hukum Ahok untuk mencari solusi atas perbedaan tafsir.  Pertemuan tersebut juga membahas rencana pembukaan Sidang Tanwir Muhammadiyah di Ambon yang akan dihadiri Presiden.  Muhammadiyah sebelumnya menyatakan keyakinannya atas penetapan tersangka Ahok berdasarkan hukum yang adil.  Pilkada serentak akan digelar di 101 daerah, termasuk DKI Jakarta.
"
117,Marvel Comics berencana membuat perubahan besar untuk karakter pahlawan Thor - karakter tersebut akan menjadi seorang wanita.,Tindakan polisi menggeledah tubuh dalam festival musik menuai kontroversi. Laporan menyebutkan adanya kesalahan polisi dalam lima kasus penggeledahan tubuh di Sydney tahun lalu. Perlunya pengawasan publik dan reformasi aturan menjadi sorotan. Penggeledahan tubuh di festival anak di bawah umur juga menimbulkan kekhawatiran. Ada juga pendapat bahwa penggeledahan tubuh diperlukan untuk mencegah penggunaan narkoba.,"Marvel akan merilis komik Thor versi wanita pada Oktober 2014.  Perubahan ini diharapkan menarik minat lebih banyak pembaca wanita dan anak perempuan.  Thor wanita ini digambarkan berambut pirang dan berkostum mantel tanpa lengan.  Thor asli, yang memegang palu Mjolnir, pertama kali muncul tahun 1962 dan telah membintangi dua film <i>blockbuster</i>. Marvel menyatakan perubahan ini sebagai salah satu yang paling mengejutkan bagi karakter utama mereka.
"
118,"Yusril Izha Mahendra, politikus senior Partai Bulan Bintang (PBB) sekaligus advokat senior, menyebrang ke kubu Joko Widodo usai membela Prabowo Subianto pada sengketa pemilihan presiden 2014.",Jenazah Sumarti Ningsih disalatkan dan dilakukan upacara adat brobosan sebelum pemakaman. Ratusan kerabat dan warga mengikuti pemakaman dengan doa-doa. Pemerintah mendesak penyelesaian kasus Rurik Jutting yang diduga terlibat dalam kematian Sumarti Ningsih.,"Yusril Ihza Mahendra, Ketua Umum Partai Bulan Bintang (PBB), menjadi pengacara Jokowi dalam Pilpres 2019.  Yusril menegaskan keputusannya ini tidak terkait afiliasi politik dan ia hanya akan menangani persoalan hukum.  Keputusan Yusril dinilai melengkapi representasi kelompok Islam di kubu Jokowi, bersama dengan Ma'ruf Amin dan Ali Mochtar Ngabalin.  Hal ini dianggap sebagai konsekuensi politik identitas yang dominan dalam pilpres.  Meskipun Jokowi unggul di beberapa survei pemilih Muslim,  persaingan dengan Prabowo diprediksi masih ketat.
"
119,Sekitar seratus orang mendatangi KPK Kamis (4/10) untuk menyampaikan dukungan terhadap apa yang mereka sebut sebagai pelemahan terhadap lembaga pemberantas korupsi itu.,"Tahun 2019 diawali dengan duka karena kecelakaan pesawat Lion Air JT-610. Pemilihan Umum dan Pemilihan Presiden dimenangkan oleh Joko Widodo-Ma'ruf Amin. Terjadi kerusuhan pasca pemilu, kerusuhan Papua, dan demonstrasi menentang revisi KPK. Ada juga berita positif seperti beroperasinya MRT dan LRT di Jakarta, serta prestasi di SEA Games 2019.","Publik mendukung KPK yang tengah berselisih dengan Polri terkait kasus Simulator SIM.  Dukungan mengalir melalui petisi online, pesan singkat, dan Twitter dengan tagar #SaveKPK.  Sekitar seratus orang berbaju hitam, termasuk tokoh nasional dan publik figur,  melakukan aksi dukungan langsung di KPK.  Revisi UU KPK oleh DPR dikhawatirkan melemahkan KPK, terutama kewenangan penyadapan dan penuntutan.
"
120,"Pada tahun 2017, Elena Manighetti dan Ryan Osborne melakukan hal yang lama mereka impikan: berhenti bekerja, membeli kapal dan keliling dunia dengan kapal itu.","Jenderal John Kelly menggantikan Reince Priebus sebagai Kepala Staf Gedung Putih setelah serangan verbal dari direktur komunikasi baru Trump, Anthony Scaramucci. Priebus mengundurkan diri setelah berbicara dengan Trump. Pemerintahan Trump telah mengalami banyak pengunduran diri dan pemecatan pejabat tinggi.","Elena dan Ryan, pasangan asal Inggris, berlayar melintasi Atlantik tanpa menyadari pandemi COVID-19.  Setelah 25 hari di laut, mereka mendapati perbatasan pulau tujuan mereka ditutup.  Mereka kesulitan menemukan tempat berlabuh karena pembatasan perjalanan akibat pandemi.  Keduanya akhirnya diizinkan masuk San Vincente setelah menunjukkan catatan perjalanan GPS.  Kini mereka aman di Bequia, tetapi masa depan perjalanan mereka masih belum pasti.
"
121,Presiden Susilo Bambang Yudhoyono melakukan pembicaraan dengan Perdana Menteri Inggris David Cameron di Downing Street London untuk meningkatkan hubungan kedua negara.,Maria Sharapova berhasil membalikkan keadaan setelah tertinggal 0-6 di set pertama dan berhasil memenangkan pertandingan. Dia akan bertemu dengan Victoria Azarenka di semifinal Prancis Terbuka. Serena Williams akan berhadapan dengan Sara Errani di semifinal lainnya.,"Presiden Yudhoyono melakukan kunjungan kenegaraan tiga hari ke Inggris dan bertemu dengan PM Cameron di Downing Street.  Pertemuan tersebut membahas perdagangan dan upaya penanggulangan kemiskinan di negara berkembang.  Yudhoyono juga berpidato di gedung parlemen Westminster.  Pada hari pertama kunjungannya, Yudhoyono menghadiri jamuan makan kenegaraan yang diselenggarakan oleh Ratu Elizabeth.  Ratu Elizabeth memuji hubungan baik antara Indonesia dan Inggris serta perkembangan Indonesia di bawah kepemimpinan Yudhoyono.
"
124,Pemimpin Jerman dan pemimpin Prancis mengajukan proposal sistem baru untuk mendistribusikan para pengungsi di antara negara-negara anggota Uni Eropa.,"MU dituduh tidak tepat waktu dalam pengiriman dokumen perpindahan de Gea oleh Spanyol, tetapi MU mengklaim memiliki bukti yang menunjukkan sebaliknya. Belum ada keterangan resmi dari kedua klub. Batalnya transfer ini menyebabkan saling tuduh antara kedua pihak.","Presiden Prancis dan Kanselir Jerman sepakat untuk mendistribusikan pengungsi dan migran yang membanjiri Eropa. Prancis bersedia menampung 24.000 pengungsi, sementara Jerman telah menerima sekitar 20.000 pengungsi, kebanyakan dari Suriah dan Afghanistan.  Rencana Komisi Eropa akan merelokasi 120.000 pengungsi dalam dua tahun ke negara-negara anggota.  Kanselir Merkel menekankan perlunya kerjasama antar negara dalam menangani krisis ini.  Namun, Perdana Menteri Hungaria menentang usulan kuota relokasi pengungsi.
"
