q_idx,label,gpt_prediction,gemini_prediction,strategy,config,orig_gemini_prediction,orig_gpt_prediction,criteria
135,"Rusia acusó a Estados Unidos de intentar destruir lo que describió como la ""carcaza de cooperación"" entre los dos países, después de que el Congreso de Estados Unidos aprobara sanciones adicionales contra Rusia.","Sergei Lavrov, ministro de Relaciones Exteriores de Rusia, criticó a Washington por sus prejuicios anticuados sobre Rusia. Se aprobó un paquete de sanciones que incluye el envío de asistencia militar a Ucrania. El ministro de defensa de Ucrania pidió duplicar el presupuesto militar para contrarrestar a los separatistas prorrusos. La OTAN se ha mostrado reacia a entregar armas a Ucrania. El presidente Obama duda de la necesidad de imponer más sanciones a Rusia sin la participación de la Unión Europea.","Sergei Lavrov, ministro de Relaciones Exteriores ruso, criticó la postura de Washington hacia Rusia.  Rusia considera que las nuevas sanciones de Estados Unidos, que incluyen asistencia militar a Ucrania, están basadas en fobias anticuadas.  El ministro de defensa ucraniano, Stepan Poltorak, solicitó duplicar el presupuesto militar para combatir a los separatistas prorrusos.  La OTAN aún no ha decidido si proporcionará armas a Ucrania. El presidente Obama se muestra indeciso sobre imponer más sanciones a Rusia sin la participación de la Unión Europea.
",0,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 11}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 34}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",,,
80,"Son de un color marrón parduzco, tienen un olor a huevo podrido que revuelve las tripas y amenazan con arruinar la temporada turística de las playas del Caribe.","El sargazo, un tipo de alga que se acumula en las playas del Caribe, ha causado la cancelación de vacaciones y ha generado preocupación en las autoridades. Se cree que su crecimiento descontrolado se debe a los nutrientes contaminantes generados por la actividad humana, y se busca encontrar soluciones para controlar su proliferación.","La acumulación excesiva de algas sargazo en las costas del Caribe, vinculada a nutrientes contaminantes y cambios oceánicos, está afectando el turismo y los ecosistemas marinos, liberando gases tóxicos y creando zonas muertas.",0,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 11}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 50}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 7}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",,,
0,"""Vamos a poner a nuestros mineros a trabajar otra vez"", dijo el presidente Donald Trump este martes al firmar una nueva orden ejecutiva.","El presidente Trump firmó una orden ejecutiva para desmantelar las políticas medioambientales de su predecesor, Barack Obama, y promover el uso de combustibles fósiles. Esta medida ha sido criticada por organizaciones medioambientales y podría afectar los compromisos adquiridos por Estados Unidos en el acuerdo de cambio climático de París.","Bajo la ""Orden Ejecutiva de Independencia Energética"", el presidente Trump revierte las políticas ambientales de Obama, promoviendo el uso de combustibles fósiles y desmantelando medidas como el ""Plan de Energía Limpia"" y la moratoria sobre la minería de carbón en tierras federales.

Las organizaciones ambientalistas condenan la medida, advirtiendo graves consecuencias para el medio ambiente y la conformidad con el acuerdo climático de París, mientras que la industria del carbón elogia el apoyo del gobierno a los mineros de carbón y la reducción de las regulaciones ambientales.",0,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 10}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 42}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",,,
538,El balón cayó del cielo y Alonso Escoboza lo trató como los propios dioses del fútbol.,"Diego Maradona, jugador de los Dorados, marcó un gol espectacular inspirado en Jesús Alonso Escoboza. La FIFA destacó el gol en su cuenta de Twitter en español. A pesar del gol, los Dorados de Sinaloa no lograron ganar y se encuentran en una difícil posición en la clasificación. Maradona se encuentra en su segunda temporada como entrenador del equipo.","Jesús Escoboza, exjugador de la selección mexicana, anotó un gol de chilena impresionante para Dorados contra Cafetaleros de Tapachula.  El gol, similar a los de Maradona, fue elogiado incluso por la FIFA y se postula para el premio Puskas.  A pesar de este golazo, Dorados empató 2-2, remontando Cafetaleros el marcador. Escoboza destacó el esfuerzo del equipo en redes sociales, buscando mejorar su rendimiento.  Dorados, dirigidos por Maradona, se encuentra último en la clasificación con solo una victoria en seis partidos.
",1,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","Jesús Escoboza, exjugador de la selección mexicana, anotó un gol de chilena impresionante para Dorados contra Cafetaleros de Tapachula.  El gol, similar a los de Maradona, fue elogiado incluso por la FIFA y se postula para el premio Puskas.  A pesar de este golazo, Dorados empató 2-2, remontando Cafetaleros el marcador. Escoboza destacó el esfuerzo del equipo en redes sociales, buscando mejorar su rendimiento.  Dorados, dirigidos por Maradona, se encuentra último en la clasificación con solo una victoria en seis partidos.
","Jesús Alonso Escoboza, jugador de los Dorados de Sinaloa, marcó un gol espectacular inspirado en Diego Maradona. La FIFA destacó el gol en su cuenta de Twitter en español. A pesar del gol, los Dorados no lograron ganar y se encuentran en una difícil posición en la clasificación. Maradona se encuentra en su segunda temporada como entrenador del equipo.",['Consistency']
370,"La próxima vez que decidas conectar tu celular a un cargador, quizás debas preguntarte: ¿es este un cable de mala o baja calidad?","Un cargador barato puede causar daños irreparables a tu teléfono. Al usar un cable sin el chip necesario, tu celular puede recibir una corriente con alto voltaje, lo que puede acabar con tu teléfono. Además, un cable que no regule los voltios del circuito puede hacer que las cargas sean más lentas e irregulares. Los cables más económicos a menudo ahorran en aislamiento, lo que puede causar problemas de seguridad y dañar la instalación eléctrica de la casa. Es recomendable buscar un cargador con garantía de fabricación y que esté diseñado específicamente para tu modelo de teléfono.","Usar cargadores baratos puede dañar tu teléfono.  Estos cargadores a menudo carecen de un chip regulador (como el E75) que protege contra fluctuaciones de voltaje, lo que puede freír el celular.  Cargadores sin  regulación de voltaje también causan cargas más lentas e irregulares.  Además, los materiales de baja calidad pueden causar problemas de seguridad, incluso dañar la instalación eléctrica.  Se recomienda buscar cargadores con garantía, y en el caso de iPhone, con la certificación MFi (Made for iPhone).
",0,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 1}}",,,
286,"Al menos 60 fosas comunes han sido descubiertas en el estado de Guerrero, en el sur de México, en el curso de la investigación para ubicar a los 43 estudiantes desaparecidos el 26 de septiembre del año pasado en la localidad de Iguala.","Las protesta continuar por desaparición Ayotzinapa. Se encontrar resto 129 persona fosa, por lo tanto ninguno pertenecer a los estudiante. Se creer que hay más que los fueron asesinados e incinerados por banda criminal, antes de que hay duda sobre oficial. El gobierno afirmar.","Tras la desaparición de 43 estudiantes, se han hallado restos de 129 personas en fosas, pero ninguno relacionado con ellos. Se han identificado 112 hombres y 20 mujeres, y se cree que hay más fosas. El gobierno afirma que los estudiantes fueron asesinados por bandas criminales, pero las familias y organizaciones dudan de esta versión.",1,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 14}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 47}, 'should_replace_conjunctions': {'enabled': True, 'number': 5}, 'should_replace_ner': {'enabled': True, 'number': 7}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","Tras la desaparición de 43 estudiantes, se han hallado restos de 129 personas en fosas, pero ninguno relacionado con ellos. Se han identificado 112 hombres y 20 mujeres, y se cree que hay más fosas. El gobierno afirma que los estudiantes fueron asesinados por bandas criminales, pero las familias y organizaciones dudan de esta versión.","Las protestas continúan por la desaparición de los 43 estudiantes de Ayotzinapa. Se han encontrado restos de 129 personas en fosas, pero ninguno pertenece a los estudiantes desaparecidos. Se cree que hay más fosas. El gobierno afirma que los estudiantes fueron asesinados e incinerados por bandas criminales, pero hay dudas sobre la investigación oficial.","['Coherence', 'Consistency', 'Fluency']"
455,Llegó la hora que llega cada cuatro años y frente a la cual sólo puedo actuar de una manera: aguantar.,"El texto habla sobre la aversión del autor hacia el fútbol y su incomodidad durante el evento deportivo. Aunque reconoce la importancia y emoción del torneo, no puede disfrutar de los partidos y prefiere mantenerse al margen. Sin embargo, otros compañeros de la redacción se ofrecen a cubrir el evento para aquellos que no son fanáticos del fútbol.","La autora no es aficionada al fútbol y teme el mes de partidos del Mundial de Brasil, ya que su ambiente lo invadirá todo en el trabajo y en casa.",0,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 9}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 31}, 'should_replace_conjunctions': {'enabled': True, 'number': 6}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",,,
786,"Algo resulta familiar en las imágenes transmitidas por televisión tras el bombardeo de las fuerzas de Occidente al comando del coronel Muamar Gadafi en Libia, ahora en ruinas: es la sombra de Irak.","El texto habla sobre intervención militar Libia liderada Estados Unidos y fuerzas aliadas. Se cuestiona si el objetivo derrocar a Gadafi o simplemente proteger a la población civil. También se mencionar la preocupación los líder árabes y se compar la situación con intervención Irak. existir duda sobre verdaderas intención de Estados Unidos y Reino Unido, y se plantea la posibilidad de que Gadafi permanecer en poder.","Estados Unidos y sus aliados intervienen en Libia para proteger a los civiles y establecer una zona de exclusión aérea, según el mandato de la ONU. Sin embargo, el objetivo de derrocar a Gadafi sigue siendo ambiguo. La Casa Blanca afirma que Gadafi no es un objetivo inmediato, pero no descarta su destitución unilateralmente. La intervención militar ha suscitado preocupaciones en el mundo árabe sobre las verdaderas intenciones de Occidente y ha planteado la posibilidad de un prolongado conflicto similar al de Irak.",1,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 11}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 32}, 'should_replace_conjunctions': {'enabled': True, 'number': 3}, 'should_replace_ner': {'enabled': False, 'number': 0}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","Estados Unidos y sus aliados intervienen en Libia para proteger a los civiles y establecer una zona de exclusión aérea, según el mandato de la ONU. Sin embargo, el objetivo de derrocar a Gadafi sigue siendo ambiguo. La Casa Blanca afirma que Gadafi no es un objetivo inmediato, pero no descarta su destitución unilateralmente. La intervención militar ha suscitado preocupaciones en el mundo árabe sobre las verdaderas intenciones de Occidente y ha planteado la posibilidad de un prolongado conflicto similar al de Irak.","El texto habla sobre la intervención militar en Libia liderada por Estados Unidos y las fuerzas aliadas. Se cuestiona si el objetivo es derrocar a Gadafi o simplemente proteger a la población civil. Existen dudas sobre las verdaderas intenciones de Estados Unidos y el Reino Unido, y se plantea la posibilidad de que Gadafi permanezca en el poder. También se menciona la preocupación de los líderes árabes y se compara la situación con la intervención en Irak.","['Coherence', 'Fluency']"
643,Con un resultado contundente el Barcelona ganó la final de la Champions Lague a la Juventus (1-3). El conjunto azulgrana consiguió su quinta Copa de Europa y su segundo triplete.,"El Rakitic ganó la final de la El tridente ofensivo del contra la Juventus con un marcador de 3-1. Fue un partido histórico ya que ambos equipos estaban buscando el triplete. Champions League Rakitic fue demasiado para la Juventus, con goles de Neymar, Suárez y Barcelona. Fue el segundo triplete en la historia del Rakitic.","El Barcelona gana su quinta Copa de Europa (3-1 a la Juventus) en una final histórica donde los goles de Rakitic, Suárez y Neymar superaron el desafío de la Juve, que igualó con Morata.",1,"{'should_shuffle': False, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","El Barcelona gana su quinta Copa de Europa (3-1 a la Juventus) en una final histórica donde los goles de Rakitic, Suárez y Neymar superaron el desafío de la Juve, que igualó con Morata.","El Barcelona ganó la final de la Champions League contra la Juventus con un marcador de 3-1. Fue un partido histórico ya que ambos equipos estaban buscando el triplete. El tridente ofensivo del Barcelona fue demasiado para la Juventus, con goles de Rakitic, Suárez y Neymar. Fue el segundo triplete en la historia del Barcelona.",['Consistency']
549,"Después de 36 años, la selección peruana de fútbol jugará un Mundial tras vencer este miércoles por 2-0 a Nueva Zelanda y asegurar su clasificación para Rusia 2018.","La selección peruana de fútbol logró su clasificación para el Mundial de Rusia 2018 al ganar el partido de repesca contra Nueva Zelanda. Los goles de Farfán y Christian Ramos fueron determinantes para la victoria. Esta será la quinta participación de Perú en un Mundial. El capitán del equipo, Paolo Guerrero, no pudo jugar debido a una suspensión por dopaje. Perú espera conocer su grupo y los primeros rivales el próximo 1 de diciembre.","Perú clasificó al Mundial Rusia 2018 tras vencer Lima 2-0 en Nueva Zelanda. Farfán Ramos anotaron los gol que dieron victoria a la selección peruana. Admitió haber creado Love Bug, que dijo que era una versión renovada de un virus anterior que había codificado para robar contraseñas de acceso a internet. España 1982 regresar a un Mundial después, su última participación en El equipo peruano. La celebración se desatar en todo el país el triunfo. En 24 horas, ya estaba causando problemas importantes en todo el mundo, habiendo infectado a 45 millones de computadoras. La sospecha también recayó en el compañero de estudios de De Guzmán, Michael Buen, quien ha sido citado en línea como coautor de Love Bug. El sorteo para definir los grupos del Mundial se realizará el 1 diciembre.",2,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 9}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 39}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 8}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}","Perú clasificó al Mundial Rusia 2018 tras vencer a Nueva Zelanda 2-0 en Lima.  Farfán y Ramos anotaron los goles que dieron la victoria a la selección peruana.  El equipo peruano regresa a un Mundial después de 36 años, tras su última participación en España 1982.  La celebración se desató en todo el país tras el triunfo. El sorteo para definir los grupos del Mundial se realizará el 1 de diciembre.
","La selección peruana de fútbol logró su clasificación para el Mundial de Rusia 2018 al ganar el partido de repesca contra Nueva Zelanda. Los goles de Farfán y Christian Ramos fueron determinantes para la victoria. Esta será la quinta participación de Perú en un Mundial. El capitán del equipo, Paolo Guerrero, no pudo jugar debido a una suspensión por dopaje. Perú espera conocer su grupo y los primeros rivales el próximo 1 de diciembre.","['Consistency', 'Coherence', 'Relevance']"
497,"El presidente de Estados Unidos, Donald Trump, llamó por teléfono este miércoles a Juan Guaidó para expresarle su apoyo como ""presidente encargado"" de Venezuela.","Trump felicitó a Guaidó por su asunción de la presidencia de Venezuela. Acordaron mantener una comunicación regular para respaldar el camino hacia la estabilidad y reconstruir la relación bilateral entre Estados Unidos y Venezuela. Guaidó fue reconocido como jefe de Estado por varios países, mientras que la Unión Europea llamó al diálogo y dio un ultimátum a Maduro para convocar elecciones. Las protestas en Venezuela han sido violentas y han causado varias muertes.","En los años 90 fue contratado para realizar una serie de comerciales de televisión. Ambos acordar comunicar él regularmente apoyar la estabilidad ya que reconstruir la relación bilateral. Muchos de sus compañeros querían ser directores de cine, algo distinto a la aspiración de ""El Chivo"" quien de pronto se encontró con muchas peticiones de ayuda. Venezuela autoproclamación Trump felicitar Guaidó. Cuarón también fue alumno del CUEC aunque no terminó su carrera.",2,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 9}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 46}, 'should_replace_conjunctions': {'enabled': True, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 3}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",Trump felicitó a Guaidó por su autoproclamación como presidente de Venezuela. Ambos acordaron comunicarse regularmente para apoyar la estabilidad y reconstruir la relación bilateral.,"Trump felicitó a Guaidó por su asunción de la presidencia de Venezuela. Acordaron mantener una comunicación regular para respaldar el camino hacia la estabilidad y reconstruir la relación bilateral entre Estados Unidos y Venezuela. Guaidó fue reconocido como jefe de Estado por varios países, mientras que la Unión Europea llamó al diálogo y dio un ultimátum a Maduro para convocar elecciones. Las protestas en Venezuela han sido violentas y han causado varias muertes.","['Consistency', 'Fluency', 'Coherence', 'Relevance']"
525,"El 14 de abril de 2014, la atención del mundo se centró en un remoto pueblo en el noreste de Nigeria, Chibok. Allí habían sido secuestradas unas 280 adolescentes mientras dormían en su colegio.","Hace un año, 219 adolescentes fueron secuestradas en Nigeria y todavía no se sabe qué les ha pasado. Se han organizado campañas internacionales para encontrarlas, pero hasta ahora no ha habido resultados. Se especula que las niñas podrían estar en diferentes países vecinos. El gobierno ha sido criticado por su falta de acción y ahora se espera que el nuevo presidente, Muhammadu Buhari, pueda hacer más para encontrar a las niñas y combatir a Boko Haram.","Hace un año, 219 niñas nigerianas fueron secuestradas por Boko Haram. A pesar de la indignación internacional y las campañas de rescate (#BringBackOurGirls), las chicas siguen desaparecidas. El nuevo gobierno nigeriano promete esfuerzos renovados para encontrarlas.",0,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': True, 'number': 8}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 38}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 7}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}",,,
410,La Fiscalía de El Salvador presentó este lunes un recurso de apelación contra el arresto domiciliario del expresidente Francisco Flores.,"El fiscal y el presidente de El Salvador cuestionan la decisión del juez de conceder casa por cárcel al expresidente Francisco Flores, ya que consideran que no se siguieron los procedimientos adecuados y no hay pruebas de que esté enfermo. Flores se presentó voluntariamente ante el juzgado y está acusado de malversación de fondos y enriquecimiento ilícito. También se le acusa de desobediencia por no comparecer ante una comisión investigadora.","fiscal criticar al juez por otorgar a Flores sin justificación médica después de que seguir debido proceso. Flores se entregar voluntariamente tras ser acusado malversación fondo, enriquecimiento ilícito ni desobediencia. presidente cuestionar la decisión sin embargo exigir una explicación. Y es posible que en esta ocasión sea cierto. Y Clinton no desmintió que fueran ciertos los discursos a puerta cerrada en Wall Street filtrados por WikiLeaks.",2,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 12}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 41}, 'should_replace_conjunctions': {'enabled': True, 'number': 6}, 'should_replace_ner': {'enabled': True, 'number': 4}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}","El fiscal critica al juez por otorgar arresto domiciliario a Flores sin justificación médica ni seguir el debido proceso. El presidente cuestiona la decisión y exige una explicación. Flores se entregó voluntariamente tras ser acusado de malversación de fondos, enriquecimiento ilícito y desobediencia.","El fiscal y el presidente de El Salvador cuestionan la decisión del juez de conceder casa por cárcel al expresidente Francisco Flores, ya que consideran que no se siguieron los procedimientos adecuados y no hay pruebas de que esté enfermo. Flores se presentó voluntariamente ante el juzgado y está acusado de malversación de fondos y enriquecimiento ilícito. También se le acusa de desobediencia por no comparecer ante una comisión investigadora.","['Consistency', 'Relevance', 'Coherence', 'Fluency']"
441,"El Banco Central Europeo, BCE, decidió reducir sus tasas de interés de referencia al 0,15%, el nivel más bajo en su historia.","El Banco Central Europeo ha implementado una medida para aumentar las inversiones y evitar la deflación en la eurozona. Con esta medida, se busca estimular el flujo de dinero en la economía y promover los negocios. Además, se penaliza a los bancos que den créditos en lugar de invertir, obligándolos a pagar por ingresar dinero en el banco central. Esto incentivará a los bancos a realizar inversiones fuera del BCE.","El BCE (Banco Central Europeo) ha implementar una medida para incentivar la inversión para que combatir la deflación la eurozona. Esta medida penalizar a los banco que preferir guardar dinero lugar invertirlo la economía. Buscan estimular el flujo dinero ni crecimiento empresarial para evitar la caída de precios por baja demandar. Los bancos ahora pagar por depositar dinero Banco Central Europeo, vez recibir intereses. Desde el inicio de la campaña electoral, en mayo, más de 2.000 personas han sido detenidas, según el Centro de Derechos Humanos Viasna. La victoria de Lukashenko desató las mayores protestas en Bielorrusia en años. Esto los obligar a buscar inversión fuera del banco central.",2,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 10}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 45}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 9}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}","El Banco Central Europeo (BCE) ha implementado una medida para incentivar la inversión y combatir la deflación en la eurozona.  Buscan estimular el flujo de dinero y el crecimiento empresarial para evitar la caída de precios por baja demanda.  Esta medida penaliza a los bancos que prefieren guardar dinero en lugar de invertirlo en la economía.  Los bancos ahora pagarán por depositar dinero en el BCE, en vez de recibir intereses.  Esto los obliga a buscar inversiones fuera del banco central.
","El Banco Central Europeo ha implementado una medida para aumentar las inversiones y evitar la deflación en la eurozona. Con esta medida, se busca estimular el flujo de dinero en la economía y promover los negocios. Además, se penaliza a los bancos que den créditos en lugar de invertir, obligándolos a pagar por ingresar dinero en el banco central. Esto incentivará a los bancos a realizar inversiones fuera del BCE.","['Coherence', 'Fluency', 'Consistency', 'Relevance']"
742,"Cada vez que nos vamos a dormir nuestra mente entra en un mundo increíble de fantasía. Lo que de día resultaría imposible de hacer, de noche se puede experimentar de forma vívida.","El texto habla sobre los sueños lúcidos, en los cuales las personas pueden controlar y decidir lo que sucede en sus sueños. Estos sueños tienen usos prácticos como tratar trastornos de pesadillas recurrentes, estimular la creatividad y practicar destrezas de la vida real. Se mencionan tres técnicas para lograr tener sueños lúcidos: la prueba de realidad, los mantras y el sueño interrumpido. Con práctica y perseverancia, se puede lograr tener sueños lúcidos y no hay límites para la imaginación.","Los sueños lúcidos permiten controlar los sueños (volar, respirar bajo el agua) y tienen beneficios prácticos (tratar pesadillas, estimular la creatividad, mejorar el rendimiento deportivo). Técnicas para lograrlos: pruebas de realidad (cuestionarse si se está dormido), mantras (intención y visualización) y sueño interrumpido (despertarse y volver a dormir con intención). ""He oído muy claramente el ánimo que hay en el partido. El portavoz de la Cámara de los Comunes, John Bercow, dictaminó la semana pasada que el gobierno no podía convocar un tercer voto a no ser que hubiera ""cambios sustanciales"" a la propuesta.",2,"{'should_shuffle': False, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 6}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 2}}","Los sueños lúcidos permiten controlar los sueños (volar, respirar bajo el agua) y tienen beneficios prácticos (tratar pesadillas, estimular la creatividad, mejorar el rendimiento deportivo). Técnicas para lograrlos: pruebas de realidad (cuestionarse si se está dormido), mantras (intención y visualización) y sueño interrumpido (despertarse y volver a dormir con intención).","El texto habla sobre los sueños lúcidos, en los cuales las personas pueden controlar y decidir lo que sucede en sus sueños. Estos sueños tienen usos prácticos como tratar trastornos de pesadillas recurrentes, estimular la creatividad y practicar destrezas de la vida real. Se mencionan tres técnicas para lograr tener sueños lúcidos: la prueba de realidad, los mantras y el sueño interrumpido. Con práctica y perseverancia, se puede lograr tener sueños lúcidos y no hay límites para la imaginación.","['Consistency', 'Relevance']"
196,"América Latina se convirtió en un espectador ansioso de la guerra comercial entre Estados Unidos y China, que impacta de forma despareja en la región: muchos ya la sufren, algunos la aprovechan.","La guerra comercial entre Estados Unidos y China está teniendo un impacto negativo en América Latina. Las monedas latinoamericanas están bajo presión frente al dólar y las bolsas de la región han caído. Además, los precios de las materias primas exportadas por la región, como la soja y el cobre, han disminuido. Sin embargo, México ha visto un aumento en su participación en el mercado importador de Estados Unidos, lo que podría beneficiar al país. Además, algunas empresas multinacionales están trasladando su producción a México para evitar los aranceles impuestos por Estados Unidos.","La guerra comercial entre Estados Unidos y China está impactando a Latinoamérica.  La incertidumbre generada por el conflicto afecta las economías latinoamericanas,  debilitando las monedas y presionando a la baja los precios de las materias primas.  Si bien México ha ganado participación en el mercado estadounidense, la región en general no ha visto los beneficios esperados.  Empresas multinacionales están trasladando sus fábricas a México para evitar aranceles, lo que podría beneficiar al país a largo plazo.
",0,"{'should_shuffle': True, 'should_remove_sentence': True, 'should_remove_random_words': {'enabled': True, 'number': 13}, 'should_replace_words_with_lemma_form': {'enabled': True, 'number': 48}, 'should_replace_conjunctions': {'enabled': True, 'number': 4}, 'should_replace_ner': {'enabled': True, 'number': 7}, 'should_random_sentence_from_another_paper': {'enabled': True, 'number': 3}}",,,
2,"¿Qué es un algoritmo? Es una palabra de moda, pero a muchos todavía nos cuesta comprender su significado.","Los algoritmos son cada vez más importantes en nuestra sociedad, tomando decisiones por nosotros en diferentes aspectos de nuestras vidas. Sin embargo, la falta de transparencia y los sesgos en estos algoritmos han generado preocupación. Empresas como IBM, Microsoft, Facebook y Google están trabajando en soluciones para detectar y corregir estos problemas, y se está debatiendo sobre la ética de la inteligencia artificial y la necesidad de diversidad en la industria. Además, se plantea la importancia de proteger a los ciudadanos de las decisiones algorítmicas.","Sin embargo, la falta de transparencia en su funcionamiento genera preocupaciones sobre sesgos y la necesidad de una mayor protección para los usuarios afectados por sus decisiones. Internet, cruciales en la sociedad actual, influyen en lo que vemos y experimentamos en Los algoritmos, incluso en decisiones como la selección laboral y las transacciones financieras.",2,"{'should_shuffle': True, 'should_remove_sentence': False, 'should_remove_random_words': {'enabled': False, 'number': 0}, 'should_replace_words_with_lemma_form': {'enabled': False, 'number': 0}, 'should_replace_conjunctions': {'enabled': False, 'number': 0}, 'should_replace_ner': {'enabled': True, 'number': 3}, 'should_random_sentence_from_another_paper': {'enabled': False, 'number': 0}}","Los algoritmos, cruciales en la sociedad actual, influyen en lo que vemos y experimentamos en Internet, incluso en decisiones como la selección laboral y las transacciones financieras. Sin embargo, la falta de transparencia en su funcionamiento genera preocupaciones sobre sesgos y la necesidad de una mayor protección para los usuarios afectados por sus decisiones.","Los algoritmos son cada vez más importantes en nuestra sociedad, tomando decisiones por nosotros en diferentes aspectos de nuestras vidas. Sin embargo, la falta de transparencia y los sesgos en estos algoritmos han generado preocupación. Empresas como IBM, Microsoft, Facebook y Google están trabajando en soluciones para detectar y corregir estos problemas, y se está debatiendo sobre la ética de la inteligencia artificial y la necesidad de diversidad en la industria. Además, se plantea la importancia de proteger a los ciudadanos de las decisiones algorítmicas.","['Consistency', 'Fluency']"
